cam1_X,cam1_Y,cam2_X,cam2_Y
186.104411,448.595107,198.807374,495.172640
263.733632,438.715024,211.951987,481.030550
347.008615,423.189180,236.416954,466.916146
435.929359,409.074776,259.940960,452.801742
534.730186,393.548932,285.346887,435.864458
602.479325,286.279462,497.062945,327.654028
691.400069,366.731564,546.933839,396.344127
774.675052,440.126465,590.218011,465.975186
865.007236,523.401447,642.911785,540.311046
958.162302,609.499311,699.369400,619.351708
935.579256,478.235355,830.700666,493.784519
1034.380083,468.355272,881.721622,481.238382
1134.592350,452.829428,931.069760,462.000972
1246.096141,440.126465,996.309671,446.109199
1354.777050,426.012061,1052.349082,421.853334
1326.548243,321.565472,1200.393496,311.447331
1409.823225,392.137491,1269.815453,379.196469
1500.155410,464.120951,1345.092274,453.636881
1596.133356,536.104411,1430.406004,533.932156
1693.522743,609.499311,1516.556143,609.208977
1591.899035,493.761199,1563.395053,482.074791
1693.522743,481.058236,1644.526738,464.510199
1807.849414,464.120951,1739.040968,438.581517
1923.587526,451.417988,1844.428517,409.307198
2040.737078,431.657822,1952.829943,382.450879
